,State,County,percent_without_grocery_access
340,FL,Glades,31.09607927029013
366,FL,Okeechobee,28.77110371110911
386,FL,Washington,22.140621168166895
343,FL,Hardee,22.056473914071148
344,FL,Hendry,15.003728132433288
345,FL,Hernando,14.311963758186923
346,FL,Highlands,14.190678406454863
327,FL,Charlotte,14.130415465921129
349,FL,Indian River,13.596072966415221
373,FL,Putnam,13.310322497144142
383,FL,Volusia,13.267241129239435
375,FL,St. Lucie,12.966776105164818
321,FL,Baker,12.96059185139373
328,FL,Citrus,12.885707513929665
372,FL,Polk,12.81345277475528
336,FL,Flagler,12.729294057719343
324,FL,Brevard,12.312836384951966
381,FL,Taylor,12.10733508196092
335,FL,Escambia,11.990250680317084
376,FL,Santa Rosa,11.467946486682015
342,FL,Hamilton,10.813933484562673
353,FL,Lake,10.792369230275641
322,FL,Bay,10.582808978327765
360,FL,Marion,10.420021396556878
368,FL,Osceola,10.177950029209297
365,FL,Okaloosa,10.15244651993961
354,FL,Lee,9.6593305627631
358,FL,Madison,9.56270095068222
382,FL,Union,9.541744388474413
330,FL,Collier,9.476426211169445
380,FL,Suwannee,9.167377513506727
326,FL,Calhoun,8.95726824839918
348,FL,Holmes,8.892519827784614
357,FL,Liberty,8.643727099408775
334,FL,Duval,8.6308739183846
355,FL,Leon,8.384124463886826
363,FL,Monroe,8.278772877905938
361,FL,Martin,8.263703293382223
370,FL,Pasco,8.259275805754525
347,FL,Hillsborough,7.462727559490288
364,FL,Nassau,7.427784372073097
351,FL,Jefferson,7.194031789060294
331,FL,Columbia,7.191379563943641
378,FL,Seminole,7.156264195612702
377,FL,Sarasota,6.946508717673094
367,FL,Orange,6.879363459474308
329,FL,Clay,6.875673716836089
341,FL,Gulf,6.677879687318981
374,FL,St. Johns,6.571373395891684
320,FL,Alachua,6.427961526820276
359,FL,Manatee,6.370161772138877
332,FL,DeSoto,5.789506326924875
338,FL,Gadsden,5.583815559595918
385,FL,Walton,5.5328784198244465
369,FL,Palm Beach,4.6543735034218265
379,FL,Sumter,4.284025855555374
371,FL,Pinellas,3.9365689188808144
356,FL,Levy,3.6382734285539815
333,FL,Dixie,3.5756214228943795
352,FL,Lafayette,3.1587880298031683
350,FL,Jackson,2.480646153947232
325,FL,Broward,2.4764159096338867
323,FL,Bradford,2.2470219273359042
362,FL,Miami-Dade,1.7469897148480291
337,FL,Franklin,1.010149770685514
339,FL,Gilchrist,0.2694309258328691
384,FL,Wakulla,0.25993411681866585
